x,y,z,roll,pitch
145,174,57,71.86721,-38.37938
72,511,289,60.5138,-6.992614
74,114,442,14.46352,-9.209101
-1,68,324,11.85388,0.1730805
-270,147,288,27.04252,39.86541
-98,-125,264,-25.33871,18.54819
213,115,223,27.28194,-40.33165
299,170,261,33.08028,-43.83192
293,102,220,24.87599,-50.39156
122,-11,0,-90.00663,-84.85416
-86,108,39,70.14996,36.83444
-240,136,177,37.54006,47.0787
-101,163,275,30.65864,17.53486
-10,71,317,12.62539,1.763313
91,46,266,9.811979,-18.63042
129,-84,253,-18.36834,-25.82456
206,-150,158,-43.51534,-43.40012
189,-188,40,-77.99427,-44.52109
67,-25,-88,-164.1527,-36.22107
-246,-272,-178,-123.2103,37.12004
-113,-45,-73,-148.3596,52.8091
-215,93,110,40.21596,56.18295
-176,89,276,17.87395,31.25618
-181,158,285,29.00551,29.05178
-281,114,173,33.38573,53.60231
-273,75,-5,93.82098,74.61139
-64,28,-29,136.0151,57.79891
115,137,61,66.00358,-37.48509
178,278,318,41.16343,-22.85311
88,296,207,55.03802,-13.69338
-20,141,250,29.42517,3.986297
28,92,238,21.1358,-6.262696
49,99,279,19.53809,-9.398856
56,46,306,8.549706,-10.25873
-4,57,289,11.15817,0.7780421
136,26,310,4.794585,-23.61547
119,-26,276,-5.381943,-23.23357
215,-13,234,-3.180064,-42.53605
230,-402,147,-69.91911,-28.25303
226,-127,118,-47.10727,-52.5131
194,-250,-107,-113.1793,-35.50683
11,32,-120,165.0807,-5.06194
-255,0,-145,180.0133,60.3807
-260,-17,-60,-164.1929,76.51785
-252,-11,-99,-173.6726,68.4374
-87,-28,-90,-162.7305,42.71103
228,54,-8,98.43422,-76.54095
278,24,194,7.052825,-54.89063
136,-127,409,-17.25154,-17.61913
-91,-59,297,-11.23654,16.72806
-228,16,143,6.384634,57.74796
-220,-6,70,-4.899454,72.29452
94,-19,-197,-174.5039,-25.40741
-10,84,-209,158.1158,2.542185
-4,77,-245,162.5648,0.8923987
-20,-86,152,-29.5029,6.533514
-102,-120,311,-21.10077,17.01465
44,-57,511,-6.365272,-4.891527
178,-86,290,-16.51903,-30.47747
195,48,191,14.10784,-44.71983
260,51,-114,155.9093,-64.34799
124,40,-99,158.0109,-49.27214
-107,5,-80,176.4367,53.16621
-492,167,156,46.95395,65.09052
-257,106,103,45.82574,60.10125
-196,14,273,2.93589,35.64339
-23,9,310,1.663081,4.241735
-35,2,263,0.435733,7.580714
91,97,369,14.72936,-13.41594
57,152,230,33.46197,-11.68247
126,57,240,13.3612,-27.05956
121,39,241,9.192921,-26.3662
-36,62,388,9.079426,5.235275
2,50,265,10.6857,-0.424947
36,63,286,12.42362,-7.008559
52,39,303,7.334919,-9.660616
32,57,370,8.758443,-4.886019
31,63,287,12.38167,-6.022984
46,30,274,6.248832,-9.47524
82,23,307,4.284829,-14.91582
28,-57,313,-10.32171,-5.02998
9,13,290,2.566902,-1.775923
40,-5,302,-0.9485888,-7.544463
24,63,285,12.46585,-4.700948
-66,135,315,23.2003,10.90153
-19,70,248,15.76331,4.217217
114,162,279,30.14361,-19.46253
153,191,275,34.7843,-24.56026
13,236,436,28.42809,-1.502154
-313,43,318,7.701401,44.28978
-170,33,-66,153.4463,66.54115
20,65,-114,150.3203,-8.666151
-185,64,129,26.38906,52.10675
-96,62,432,8.167837,12.4066
67,75,358,11.83306,-10.38081
151,-69,132,-27.59933,-45.39564
266,-97,131,-36.52108,-58.50461
109,-134,70,-62.42257,-35.79369
41,-126,36,-74.06006,-17.37497
94,-145,19,-82.54088,-32.73455
90,-82,231,-19.5452,-20.16288
19,83,493,9.557231,-2.176623
-13,25,456,3.138306,1.630663
-60,-30,314,-5.457955,10.77074
-91,-191,108,-60.51868,22.52693
-27,-195,43,-77.57027,7.701007
60,-185,-2,-90.62606,-17.96948
11,-361,-112,-107.2444,-1.667101
182,-59,-100,-149.4704,-57.46821
236,-4,-90,-177.4683,-69.11162
214,-22,119,-10.47501,-60.5164
156,-46,344,-7.617023,-24.2051
158,8,300,1.527638,-27.76793
124,-20,257,-4.450175,-25.69112
137,-60,236,-14.26556,-29.36473
71,-96,173,-29.02861,-19.74228
153,-36,149,-13.58396,-44.94956
327,46,295,8.863537,-47.6061
325,16,117,7.787592,-70.03652
283,1,-88,179.3622,-72.73101
98,-39,-106,-159.812,-40.95003
-100,55,21,69.10732,59.51789
-19,164,202,39.07537,4.176801
92,92,328,15.66931,-15.11418
9,202,342,30.57019,-1.298116
-7,16,283,3.236131,1.414767
104,-33,294,-6.404824,-19.36973
132,-36,305,-6.732131,-23.2599
210,-143,261,-28.72013,-35.21047
165,-101,152,-33.60547,-42.12067
191,-49,193,-14.24666,-43.8104
83,104,211,26.24021,-19.436
212,-131,89,-55.81234,-53.24264
119,-124,200,-31.80125,-26.82734
23,94,252,20.45782,-4.888076
-15,135,299,24.3012,2.618092
-202,50,327,8.694129,31.41222
-286,4,222,1.032321,52.17988
-285,58,-21,109.9118,77.79315
-8,31,-143,167.7809,3.12971
99,107,-210,153.0113,-22.78633
106,41,95,23.34573,-45.69541
286,98,185,27.91355,-53.79961
200,47,256,10.40406,-37.54169
336,39,271,8.189895,-50.82864
267,46,19,67.56223,-79.44695
35,22,-85,165.5011,-21.73527
-161,117,57,64.03032,51.05305
-117,214,344,31.8878,16.10962
-11,10,363,1.578113,1.735175
72,-12,251,-2.737358,-15.98953
219,-77,268,-16.03125,-38.14856
265,14,293,2.735803,-42.09795
137,-132,185,-35.51099,-31.08482
258,-258,182,-54.80388,-39.25664
147,-119,3,-88.5624,-51.00386
207,-82,-98,-140.0899,-58.31727
-115,12,-84,171.8825,53.58217
-249,-11,69,-9.058556,74.33095
-235,41,160,14.37384,54.9026
-208,116,232,26.56701,38.72899
-123,87,419,11.73092,16.03718
-274,35,233,8.543419,49.31121
-224,116,13,83.61176,62.48063
-107,95,-130,143.8524,33.6083
89,29,-108,164.9817,-38.51846
249,240,151,57.82753,-41.29102
72,142,322,23.79894,-11.56353
-13,116,277,22.72427,2.478904
-92,63,333,10.71391,15.18868
-228,27,333,4.635805,34.31392
-302,197,174,48.55106,48.96952
87,-48,-85,-150.5574,-41.71184
182,77,-33,113.2069,-65.28848
276,84,123,34.33275,-61.65056
271,141,104,53.59189,-57.12093
383,127,87,55.59142,-68.10804
32,62,-23,110.3614,-25.82448
-170,20,286,4.00048,30.6684
-124,37,325,6.495419,20.76273
17,80,337,13.35517,-2.810093
12,57,291,11.08339,-2.317557
4,41,281,8.301916,-0.8070589
-11,44,280,8.931248,2.222666
2,45,260,9.820024,-0.4343039
21,54,343,8.94755,-3.461263
12,38,319,6.793692,-2.139359
-18,63,301,11.82236,3.35008
13,48,256,10.62044,-2.857557
8,45,259,9.857197,-1.743222
6,64,296,12.20137,-1.135105
116,-29,295,-5.614841,-21.37367
180,12,237,2.89879,-37.18386
158,35,261,7.63834,-30.96575
299,18,-28,147.2756,-83.65378
58,-29,-172,-170.4422,-18.39415
-115,27,26,46.08432,71.95234
-229,1,-35,178.3766,81.31274
-197,-85,173,-26.16817,45.62756
-215,-32,312,-5.856445,34.43342
-36,64,271,13.28863,7.367164
12,112,318,19.40376,-2.038607
-65,-53,137,-21.15108,23.87088
-123,17,217,4.47979,29.47248
-7,110,342,17.83105,1.116336
19,67,308,12.2734,-3.449789
17,56,463,6.896952,-2.087741
88,-56,302,-10.50584,-15.98854
143,-159,149,-46.86305,-33.27747
149,212,268,38.3484,-23.56077
-212,54,485,6.353626,23.48325
-68,-2,357,-0.3210051,10.78493
-226,9,401,1.285819,29.40121
-125,49,23,64.86,66.59057
-158,-6,-70,-175.1138,66.03194
128,-121,511,-13.32272,-13.69967
45,-76,460,-9.382201,-5.513383
43,27,382,4.043276,-6.407112
-22,86,290,16.51903,4.160181
-90,61,455,7.636444,11.09287
-181,-144,101,-54.95866,45.82382
-235,-50,18,-70.20629,77.26352
206,-175,313,-29.21194,-29.87768
